A16R17;A16R17;14;12;2016;Черное море;СБК;Анапа;;;;10;судно;;;28.12.2016 0:00:00;Мороженая;60 - 120;90 - 95;90;113;803,94;7,11451327433628;35,2441621997953;16,7218047744931;14,6817926822174;12;12;3;0;0;0;;Журнал Хамса 2015-2016-2017 гг. ;Anchovy_data_2016_2017.xls; ;
A16R18;A16R18;9;12;2016;Черное море;КПП;Керченское предпроливье;;;;;;;;28.12.2016 0:00:00;Мороженая;65 - 115;90 - 95;91,3888888888889;102;858,63;8,41794117647059;40,0925470828601;19,2527378398284;19,0065519979112;9;9;3;0;0;0;;Журнал Хамса 2015-2016-2017 гг. ;Anchovy_data_2016_2017.xls; ;
A16R19;A16R19;12;12;2016;Черное море;СБК;Новороссийск;;;;10,4;СРТМ-К;"Виноградное";;28.12.2016 0:00:00;Мороженая;75 - 120;95 - 100;97,5;132;957,57;7,25431818181818;34,2963384023667;15,9312363601034;13,8363338549111;9;9;3;0;0;65;Рыба куплена Л. И. Булли на рынке в Керчи 27.12.2016 - из брикетов по 22 кг;Журнал Хамса 2015-2016-2017 гг. ;Anchovy_data_2016_2017.xls; ;
A16R20;A16R20;18;12;2016;Черное море;СБК;Новороссийск;;;;9,6;СРТМ-К;"Виноградное";;28.12.2016 0:00:00;Мороженая;70 - 120;95 - 100;95;117;903,66;7,72358974358974;34,5677537594865;14,3947585212646;14,0784363534619;10;10;3;0;0;40;Рыба куплена Л. И. Булли на рынке в Керчи 11.01.2017;Журнал Хамса 2015-2016-2017 гг. ;Anchovy_data_2016_2017.xls; ;
A16R21;A16R21;20;1;2017;Черное море;СБК;Геленджик;;;;9,9;;;;02.02.2017 0:00:00;Мороженая: отличное;65 - 125;95 - 100;95;184;1315,75;7,1508152173913;31,3363243853724;14,2134934773331;11,1960013517522;12;12;3;0;0;0;;Журнал Хамса 2015-2016-2017 гг. ;Anchovy_data_2016_2017.xls; ;
A16R22;A16R22;28;1;2017;Черное море;СБК;Геленджик;;;;9,2;МРС;"Обь";;14.02.2017 0:00:00;Мороженая: хорошее;85 - 125;105 - 110;105;145;1232,19;8,49786206896552;33,5427250381979;14,5571979734781;13,1641107340726;8;8;3;0;0;43;;Журнал Хамса 2015-2016-2017 гг. ;Anchovy_data_2016_2017.xls; ;
A16R23;A16R23;2;2;2017;Черное море;СБК;Геленджик;;;;8,8;;;;28.02.2017 0:00:00;Мороженая: хорошее;60 - 120;90 - 100;94,1666666666667;149;1168,84;7,84456375838926;31,1092730192776;12,9868449550508;10,9934715331957;9;9;3;0;0;40;;Журнал Хамса 2015-2016-2017 гг. ;Anchovy_data_2016_2017.xls; ;
A16R24;A16R24;18;2;2017;Черное море;СБК;Сочи;;;;8,2;;;;28.02.2017 0:00:00;Мороженая: хорошее;60 - 120;95 - 100;97,5;138;1152,87;8,35413043478261;31,5578084739234;13,5470549012169;11,3935651587397;8;8;3;0;0;100;;Журнал Хамса 2015-2016-2017 гг. ;Anchovy_data_2016_2017.xls; ;
A16R25;A16R25;13;3;2017;Черное море;СБК;Геленджик;;;;9,1;СРТМ-К;"Салгир";;22.03.2017 0:00:00;Мороженая: хорошее;55 - 135;90 - 95;90,7142857142857;234;1650,54;7,05358974358974;29,0203466811107;13,9897396321481;9,13014923955077;14;14;3;0;0;88;;Журнал Хамса 2015-2016-2017 гг. ;Anchovy_data_2016_2017.xls; ;
A16R26;A16R26;3;3;2017;Черное море;СБК;Геленджик;;;;7,9;;;;22.03.2017 0:00:00;Мороженая: хорошее;60 - 125;95 - 100;98,5;229;1796,29;7,84406113537118;31,839764021811;14,8003418808564;11,6450695074554;10;10;3;0;0;80;;Журнал Хамса 2017-2018 гг. ;Anchovy_data_2016_2017.xls; ;
